num_macrorregiao_saude,dsc_macrorregiao_saude,num_regiao_saude,dsc_regiao_saude,cod_ibge_municipio,nom_municipio
4213,GRANDE OESTE,42001,EXTREMO OESTE,420080,ANCHIETA
4213,GRANDE OESTE,42001,EXTREMO OESTE,420208,BANDEIRANTE
4213,GRANDE OESTE,42001,EXTREMO OESTE,420209,BARRA BONITA
4213,GRANDE OESTE,42001,EXTREMO OESTE,420215,BELMONTE
4213,GRANDE OESTE,42001,EXTREMO OESTE,420257,BOM JESUS DO OESTE
4213,GRANDE OESTE,42001,EXTREMO OESTE,420490,DESCANSO
4213,GRANDE OESTE,42001,EXTREMO OESTE,420500,DIONISIO CERQUEIRA
4213,GRANDE OESTE,42001,EXTREMO OESTE,420535,FLOR DO SERTAO
4213,GRANDE OESTE,42001,EXTREMO OESTE,420640,GUARACIABA
4213,GRANDE OESTE,42001,EXTREMO OESTE,420660,GUARUJA DO SUL
4213,GRANDE OESTE,42001,EXTREMO OESTE,420765,IPORA DO OESTE
4213,GRANDE OESTE,42001,EXTREMO OESTE,420775,IRACEMINHA
4213,GRANDE OESTE,42001,EXTREMO OESTE,420840,ITAPIRANGA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421050,MARAVILHA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421090,MODELO
4213,GRANDE OESTE,42001,EXTREMO OESTE,421100,MONDAI
4213,GRANDE OESTE,42001,EXTREMO OESTE,421200,PALMA SOLA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421223,PARAISO
4213,GRANDE OESTE,42001,EXTREMO OESTE,421415,PRINCESA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421520,ROMELANDIA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421535,SALTINHO
4213,GRANDE OESTE,42001,EXTREMO OESTE,421555,SANTA HELENA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421568,SANTA TEREZINHA DO PROGRESSO
4213,GRANDE OESTE,42001,EXTREMO OESTE,421625,SAO JOAO DO OESTE
4213,GRANDE OESTE,42001,EXTREMO OESTE,421670,SAO JOSE DO CEDRO
4213,GRANDE OESTE,42001,EXTREMO OESTE,421715,SAO MIGUEL DA BOA VISTA
4213,GRANDE OESTE,42001,EXTREMO OESTE,421720,SAO MIGUEL DO OESTE
4213,GRANDE OESTE,42001,EXTREMO OESTE,421730,SAUDADES
4213,GRANDE OESTE,42001,EXTREMO OESTE,421795,TIGRINHOS
4213,GRANDE OESTE,42001,EXTREMO OESTE,421875,TUNAPOLIS
4213,GRANDE OESTE,42002,OESTE,420050,AGUAS DE CHAPECO
4213,GRANDE OESTE,42002,OESTE,420055,AGUAS FRIAS
4213,GRANDE OESTE,42002,OESTE,420165,ARVOREDO
4213,GRANDE OESTE,42002,OESTE,420310,CAIBI
4213,GRANDE OESTE,42002,OESTE,420410,CAXAMBU DO SUL
4213,GRANDE OESTE,42002,OESTE,420420,CHAPECO
4213,GRANDE OESTE,42002,OESTE,420435,CORDILHEIRA ALTA
4213,GRANDE OESTE,42002,OESTE,420440,CORONEL FREITAS
4213,GRANDE OESTE,42002,OESTE,420470,CUNHA PORA
4213,GRANDE OESTE,42002,OESTE,420475,CUNHATAI
4213,GRANDE OESTE,42002,OESTE,420543,FORMOSA DO SUL
4213,GRANDE OESTE,42002,OESTE,420665,GUATAMBU
4213,GRANDE OESTE,42002,OESTE,420785,IRATI
4213,GRANDE OESTE,42002,OESTE,420895,JARDINOPOLIS
4213,GRANDE OESTE,42002,OESTE,421140,NOVA ERECHIM
4213,GRANDE OESTE,42002,OESTE,421145,NOVA ITABERABA
4213,GRANDE OESTE,42002,OESTE,421187,PAIAL
4213,GRANDE OESTE,42002,OESTE,421210,PALMITOS
4213,GRANDE OESTE,42002,OESTE,421290,PINHALZINHO
4213,GRANDE OESTE,42002,OESTE,421315,PLANALTO ALEGRE
4213,GRANDE OESTE,42002,OESTE,421420,QUILOMBO
4213,GRANDE OESTE,42002,OESTE,421507,RIQUEZA
4213,GRANDE OESTE,42002,OESTE,421569,SANTIAGO DO SUL
4213,GRANDE OESTE,42002,OESTE,421600,SAO CARLOS
4213,GRANDE OESTE,42002,OESTE,421755,SERRA ALTA
4213,GRANDE OESTE,42002,OESTE,421775,SUL BRASIL
